ID,Glider,Model,Manufacturer,Competition Class,Kind,Wingarea,Empty Weight,Reference Mass,MTOW,Min Speed,Polar Coeffs,Double Seater,Exclude Live,Vintage,Self-Launcher,2016,2017,2018,2019,2020,2021,2022,2023,2024
57,PIK-20 D/E,PIK-20 E,Eiri-Avion,15,MG,10.0,320.0,423.0,470.0,78.00,-0.0000030:0.0004732:-0.0297211:0.8036679:-8.4726226,,,,x,104,104,104,104,104,104,104,104,104
58,PIK-20 B,PIK-20 B,Eiri-Avion,15,GL,10.0,240.0,354.0,450.0,67.00,-0.0000005:0.0001190:-0.0104576:0.3203923:-3.7813581,,,,,102,102,102,102,102,102,102,102,102
59,H-301,H-301,Glasflügel,Club,GL,9.5,180.0,283.1,300.0,72.00,-0.0000057:0.0007960:-0.0428823:0.9904012:-8.7714830,,,,,100,100,100,100,100,100,101,101,101
60,LS 2,LS 2,Rolladen-Schneider,15,GL,10.29,240.0,,360.0,,,,,,,100,100,100,100,100,100,100,100,100
61,JS1 18m,JS1 18m,Jonker Sailplanes,18,GL,11.1,320.0,436.33,600.0,81.62,-0.0000023:0.0003135:-0.0175671:0.4230493:-4.1545630,,,,,119,119,121,121,119,119,121,121,121
62,JS1 18m,JS1 TJ 18m,Jonker Sailplanes,18,MG,11.1,340.0,436.33,600.0,81.62,-0.0000023:0.0003135:-0.0175671:0.4230493:-4.1545630,,,,,119,119,121,121,119,119,121,121,121
63,JS3 18m,JS3 18m,Jonker Sailplanes,18,GL,9.95,310.0,525.0,600.0,88.80,-0.0000009:0.0001584:-0.0115736:0.3684573:-4.7041666,,,,,121,121,121,121,119,119,122,122,122
64,JS3 18m,JS3 RES 18m,Jonker Sailplanes,18,MG,9.95,330.0,525.0,600.0,88.80,-0.0000009:0.0001584:-0.0115736:0.3684573:-4.7041666,,,,x,121,121,121,121,119,119,122,122,122
65,JS3 18m,JS3 TJ 18m,Jonker Sailplanes,18,MG,9.95,310.0,525.0,600.0,88.80,-0.0000009:0.0001584:-0.0115736:0.3684573:-4.7041666,,,,,121,121,121,121,119,119,122,122,122
66,Ventus 3 18m,Ventus 3 18m,Schempp-Hirth,18,GL,10.84,310.0,582.2,600.0,87.90,-0.0000014:0.0001997:-0.0120782:0.3333505:-3.9673060,,,,,121,121,121,121,119,119,122,122,122
67,Ventus 3 18m,Ventus 3F 18m,Schempp-Hirth,18,FG,10.84,360.0,582.2,600.0,87.90,-0.0000014:0.0001997:-0.0120782:0.3333505:-3.9673060,,,,,121,121,121,121,119,119,122,122,122
68,Ventus 3 18m,Ventus 3M 18m,Schempp-Hirth,18,MG,10.84,400.0,582.2,600.0,87.90,-0.0000014:0.0001997:-0.0120782:0.3333505:-3.9673060,,,,x,121,121,121,121,119,119,122,122,122
69,Ventus 3 18m,Ventus 3T 18m,Schempp-Hirth,18,MG,10.84,360.0,582.2,600.0,87.90,-0.0000014:0.0001997:-0.0120782:0.3333505:-3.9673060,,,,,121,121,121,121,119,119,122,122,122
70,ASG 29 18m,ASG 29 18m,Alexander Schleicher,18,GL,10.5,280.0,391.3,600.0,81.05,-0.0000054:0.0007747:-0.0423528:1.0075874:-9.1985372,,,,,119,119,121,119,119,119,121,121,121
71,ASG 29 18m,ASG 29 E 18m,Alexander Schleicher,18,MG,10.5,325.0,391.3,600.0,81.05,-0.0000054:0.0007747:-0.0423528:1.0075874:-9.1985372,,,,,119,119,121,119,119,119,121,121,121
72,ASG 29 18m,ASG 29 Es 18m,Alexander Schleicher,18,MG,10.5,325.0,391.3,600.0,81.05,-0.0000054:0.0007747:-0.0423528:1.0075874:-9.1985372,,,,,119,119,121,119,119,119,121,121,121
73,Ventus 2 cxa,Ventus 2 cxa,Schempp-Hirth,18,GL,9.67,240.0,326.0,525.0,71.20,-0.0000036:0.0004830:-0.0254792:0.5756726:-5.1809941,,,,,119,119,119,119,119,119,121,121,121
74,ASH 31 Mi 18m,ASH 31 Mi 18m,Alexander Schleicher,18,MG,11.9,415.0,443.5,630.0,81.05,-0.0000054:0.0007747:-0.0423528:1.0075874:-9.1985372,,,,x,118,118,120,120,118,118,120,120,120
75,Antares 18,Antares 18S,Lange Aviation,18,GL,10.97,295.0,350.0,660.0,80.00,-0.0026352:0.1448400:-2.5300000,,,,,119,118,120,120,118,118,120,120,120
76,Antares 18,Antares 18T,Lange Aviation,18,MG,10.97,345.0,395.0,660.0,80.00,-0.0016848:0.0759600:-1.3500000,,,,,119,118,120,120,118,118,120,120,120
77,DG 800 18m,DG 800A/B 18m,DG Flugzeugbau,18,MG,11.81,344.0,432.25,525.0,68.00,-0.0000037:0.0004769:-0.0242294:0.5269140:-4.5759245,,,,x,118,118,118,118,118,118,119,119,119
78,DG 800 18m,DG 800S 18m,DG Flugzeugbau,18,GL,11.81,272.0,432.25,525.0,68.00,-0.0000037:0.0004769:-0.0242294:0.5269140:-4.5759245,,,,,118,118,118,118,118,118,119,119,119
79,DG 800 18m,DG 808C Competition 18m,DG Flugzeugbau,18,MG,11.81,272.0,432.25,600.0,68.00,-0.0000037:0.0004769:-0.0242294:0.5269140:-4.5759245,,,,x,118,118,118,118,118,118,120,120,120
80,HpH 304 Shark,HpH 304 ES Shark,HpH Sailplanes,18,FG,11.8,360.0,425.2,600.0,73.10,-0.0000069:0.0010638:-0.0618146:1.5506843:-14.5880575,,,,,118,118,120,118,118,118,119,119,119
81,HpH 304 Shark,HpH 304 MS Shark,HpH Sailplanes,18,MG,11.8,360.0,425.2,600.0,73.10,-0.0000069:0.0010638:-0.0618146:1.5506843:-14.5880575,,,,x,118,118,120,118,118,118,119,119,119
82,HpH 304 Shark,HpH 304 S Shark,HpH Sailplanes,18,GL,11.8,280.0,425.2,600.0,73.10,-0.0000069:0.0010638:-0.0618146:1.5506843:-14.5880575,,,,,118,118,120,118,118,118,119,119,119
83,HpH 304 Shark,HpH 304 SJ Shark,HpH Sailplanes,18,MG,11.8,310.0,425.2,600.0,73.10,-0.0000069:0.0010638:-0.0618146:1.5506843:-14.5880575,,,,,118,118,120,118,118,118,119,119,119
85,LS 10 18m,LS 10 18m,Rolladen-Schneider,18,GL,11.45,295.0,380.0,600.0,80.00,-0.0017712:0.0776400:-1.3700000,,,,,118,118,120,120,118,118,119,119,119
86,LS 10 18m,LS 10-st 18m,Rolladen-Schneider,18,MG,11.45,345.0,380.0,600.0,80.00,-0.0017712:0.0776400:-1.3700000,,,,,118,118,120,120,118,118,119,119,119
87,SB 14,SB 14,Akaflieg Braunschweig,18,GL,10.84,285.0,,541.0,,,,,,,118,118,118,118,118,118,118,118,118
88,Ventus 2c 18m,Ventus 2c 18m,Schempp-Hirth,18,GL,11.0,310.0,432.4,525.0,81.62,-0.0000023:0.0003135:-0.0175671:0.4230493:-4.1545630,,,,,118,118,118,118,118,118,120,120,120
89,Ventus 2c 18m,Ventus 2cM 18m,Schempp-Hirth,18,MG,11.0,380.0,432.4,525.0,81.62,-0.0000023:0.0003135:-0.0175671:0.4230493:-4.1545630,,,,x,118,118,118,118,118,118,120,120,120
90,Ventus 2c 18m,Ventus 2cT 18m,Schempp-Hirth,18,MG,11.0,342.4,432.4,525.0,81.62,-0.0000023:0.0003135:-0.0175671:0.4230493:-4.1545630,,,,,118,118,118,118,118,118,120,120,120
91,ASH 26,ASH 26,Alexander Schleicher,18,GL,11.68,270.0,399.456,525.0,73.00,-0.0000017:0.0002101:-0.0108558:0.2406083:-2.4013626,,,,,117,117,117,117,117,117,119,119,119
92,ASH 26,ASH 26 E,Alexander Schleicher,18,MG,11.68,360.0,399.456,525.0,73.00,-0.0000017:0.0002101:-0.0108558:0.2406083:-2.4013626,,,,x,117,117,117,117,117,117,119,119,119
93,LAK-17 18m,LAK-17A 18m,Sportinė Aviacija,18,GL,9.8,225.0,298.0,453.0,95.00,-0.0033153:0.1928930:-3.4587209,,,,,117,117,117,117,117,117,119,119,119
94,LAK-17 18m,LAK-17A T 18m,Sportinė Aviacija,18,MG,9.8,275.0,298.0,500.0,95.00,-0.0033153:0.1928930:-3.4587209,,,,,117,117,117,117,117,117,119,119,119
95,LAK-17 18m,LAK-17B 18m,Sportinė Aviacija,18,GL,9.8,225.0,295.0,600.0,80.00,-0.0012960:0.0468000:-0.8600000,,,,,117,117,117,117,117,117,119,119,119
96,LAK-17 18m,LAK-17B FES 18m,Sportinė Aviacija,18,FG,9.8,275.0,295.0,600.0,80.00,-0.0012960:0.0468000:-0.8600000,,,,,117,117,117,117,117,117,119,119,119
97,LAK-17 18m,LAK-17B T 18m,Sportinė Aviacija,18,MG,9.8,275.0,295.0,600.0,80.00,-0.0012960:0.0468000:-0.8600000,,,,,117,117,117,117,117,117,119,119,119
98,LS 6 18m,LS 6 18m,Rolladen-Schneider,18,GL,11.42,280.0,427.108,525.0,74.00,-0.0000024:0.0003308:-0.0179029:0.4105581:-3.8314519,,,,,117,117,117,117,117,117,117,117,117
99,LS 9,LS 9,Rolladen-Schneider,18,MG,11.42,370.0,427.108,525.0,74.00,-0.0000024:0.0003308:-0.0179029:0.4105581:-3.8314519,,,,x,117,117,117,117,117,117,117,117,117
100,DG 600 18m,DG 600 18m,DG Flugzeugbau,18,GL,11.81,270.0,368.47,480.0,73.00,-0.0000111:0.0015204:-0.0786212:1.7659455:-14.9435046,,,,,116,116,116,116,116,116,116,116,116
101,DG 600 18m,DG 600M 18m,DG Flugzeugbau,18,MG,11.81,320.0,368.47,480.0,73.00,-0.0000111:0.0015204:-0.0786212:1.7659455:-14.9435046,,,,x,116,116,116,116,116,116,116,116,116
102,LS 6 17.5m,LS 6 17.5m,Rolladen-Schneider,18,GL,,,,,,,,,,,116,116,116,116,116,116,116,116,116
103,Ventus c 17.6m,Ventus c 17.6m,Schempp-Hirth,18,GL,10.15,253.0,387.73,500.0,76.00,-0.0000040:0.0006353:-0.0380900:0.9661822:-9.2566646,,,,,115,115,115,115,115,115,115,115,115
104,Ventus c 17.6m,Ventus cM 17.6m,Schempp-Hirth,18,MG,10.15,310.0,387.73,430.0,76.00,-0.0000040:0.0006353:-0.0380900:0.9661822:-9.2566646,,,,x,115,115,115,115,115,115,115,115,115
105,Ventus c 17.6m,Ventus cT 17.6m,Schempp-Hirth,18,MG,10.15,253.0,387.73,500.0,76.00,-0.0000040:0.0006353:-0.0380900:0.9661822:-9.2566646,,,,,115,115,115,115,115,115,115,115,115
106,ASW 28 18m,ASW 28 18m,Alexander Schleicher,18,GL,11.88,270.0,398.3,575.0,75.12,-0.0000078:0.0011136:-0.0603129:1.4224275:-12.7431871,,,,,114,114,116,114,114,114,113,114,114
