ID,Glider,Model,Wingarea,Empty Mass,Reference Mass,MTOW,Polar,Min Speed
360,DG 1000 18m FG,DG 1000 18m FG,16.72,400.0,492,750.0,-0.003253=0.1548=-2.48,70
609,DG 1000 18m FG,DG 1000 neo 18m FG,16.72,400.0,492,750.0,-0.003253=0.1548=-2.48,70
345,DG 1000 20m,DG 1000M 20m,17.53,501.0,583.4,750.0,DG1000_20m.POL,
346,DG 1000 20m,DG 1000S 20m,17.53,415.0,583.4,750.0,DG1000_20m.POL,
347,DG 1000 20m,DG 1000T 20m,17.53,465.0,583.4,750.0,DG1000_20m.POL,
550,DG 1000 20m,DG 1000E neo 20m,17.53,501.0,583.4,750.0,DG1000_20m.POL,
584,DG 1000 20m,DG 1000M neo 20m,17.53,501.0,583.4,750.0,DG1000_20m.POL,
585,DG 1000 20m,DG 1000S neo 20m,17.53,415.0,583.4,750.0,DG1000_20m.POL,
586,DG 1000 20m,DG 1000T neo 20m,17.53,465.0,583.4,750.0,DG1000_20m.POL,
48,DG 200,DG 200,10.0,230.0,340.0,450.0,DG200.POL,
124,DG 200 17m,DG 200 17m,10.57,251.0,336.126,450.0,DG20217.POL,
476,DG 300,DG 300 WL,10.28,245.0,363.912,450.0,DG303.POL,
481,DG 300,DG 300,10.28,245.0,363.912,450.0,DG303.POL,
575,DG 300,DG 300G WL,10.28,245.0,363.912,450.0,DG303.POL,
258,DG 300 FG,DG 300 FG,10.28,245.0,363.912,450.0,DG303.POL,
477,DG 303,DG 303,10.28,245.0,363.912,450.0,DG303.POL,
49,DG 400,DG 400,10.0,306.0,440.0,460,115.0:-0.76:160.53:-1.22:210.22:-2.3,85.0
125,DG 400 17m,DG 400 17m,10.57,310.0,405.888,460.0,DG400.POL,
361,DG 500 20m,DG 500 20m,17.59,480.0,664.9,750.0,DG500GPS.POL,
362,DG 500 20m,DG 500M 20m,17.59,530.0,664.9,750.0,DG500GPS.POL,
439,DG 500 22m,DG 500 22m,18.29,445.0,530,750.0,-0.002670=0.1217=-1.93,75
440,DG 500 22m,DG 500M 22m,18.29,505.0,530,750.0,-0.002670=0.1217=-1.93,75
441,DG 500 22m,DG 505 22m,18.29,445.0,530,750.0,-0.002670=0.1217=-1.93,75
442,DG 500 22m,DG 505M 22m,18.29,505.0,530,750.0,-0.002670=0.1217=-1.93,75
284,DG 500 Trainer FG,DG 500 Trainer FG,16.6,400.0,572.7,750.0,DG500TRA.POL,
285,DG 500 Trainer FG,DG 505 Trainer FG,16.6,400.0,572.7,750.0,DG500TRA.POL,
366,DG 500 Trainer RG,DG 500 Trainer RG,16.6,400.0,572.7,750.0,DG500TRA.POL,
368,DG 500 Trainer RG,DG 505 Trainer RG,16.6,400.0,572.7,750.0,DG500TRA.POL,
367,DG 505 6 Orion,DG 505 6 Orion,,,,,,
363,DG 505 M Orion 20m,DG 505 M Orion 20m,17.59,480.0,664.9,750.0,DG500GPS.POL,
35,DG 600,DG 600,10.95,255.0,339.0,525.0,-0.0017=0.0752=-1.3800,80.0
36,DG 600,DG 600M,10.95,305.0,339.0,525.0,-0.0017=0.0752=-1.3800,80.0
114,DG 600 17m,DG 600 17m,11.59,270.0,361.61,525.0,DG60017.POL,
115,DG 600 17m,DG 600M 17m,11.59,320.0,361.61,525.0,DG60017.POL,
100,DG 600 18m,DG 600 18m,11.81,270.0,368.47,480.0,DG60017.POL,
101,DG 600 18m,DG 600M 18m,11.81,320.0,368.47,480.0,DG60017.POL,
21,DG 800 15m,DG 800A/B 15m,10.68,370.0,468.0,525.0,103.61:-0.6535:130.0:-0.8915:170.0:-1.4807,
22,DG 800 15m,DG 800S 15m,10.68,260.0,370.0,525.0,92.1255:-0.5811:130.0:-0.9754:170.0:-1.6933,
