ID,Glider,Model,Wingarea,Empty Mass,Reference Mass,MTOW,Polar,Min Speed
567,Ka 2,Ka 2 b,17.5,278.0,418.0,480.0,87.0:-0.9:120.0:-1.5:150.0:-2.6,
332,Ka 4 Rhönlerche II,Ka 4 Rhönlerche II,16.34,220.0,360.0,400.0,65.0:-0.95:120.0:-2.5:140.0:-3.5,
224,Ka 6,Ka 6,12.4,185.0,275.28,300.0,KA6CR.POL,
211,Ka 6 E,Ka 6 E,12.4,185.0,277.76,300.0,KA6E.POL,
251,Ka/1 /3 /4,Ka 1,9.9,98.0,,195.0,,
252,Ka/1 /3 /4,Ka 3,9.9,100.0,,195.0,,
212,Ka10,Ka10,12.53,210.0,,320.0,,
123,Kestrel 17m,Kestrel 17m,11.58,260.0,367.086,400.0,H401.POL,
521,Kestrel 17m,Slingsby T.59 Kestrel 17m,11.58,260.0,367.086,400.0,H401.POL,
437,Kestrel 19m,Kestrel 19m,12.87,330.0,429.86,472.0,T59D.POL,
522,Kestrel 19m,Slingsby T.59D Kestrel 19m,12.87,330.0,429.86,472.0,T59D.POL,
428,Kestrel 22m,Kestrel 22m,16.26,455.0,559.344,650.0,H604.POL,
177,Kiwi,Kiwi,11.03,205.0,323.179,380.0,KIWI18.POL,
315,Kranich 2,Kranich 2,22.7,185.0,,350.0,,
303,Kranich 3,Kranich 3,21.06,420.0,509.652,550.0,KRANICH3.POL,
549,L-13 Blaník,L-13 Blaník,19.15,382.0,472.0,500.0,L13.POL,
235,L-Spatz,L-Spatz,10.90,135.0,,245.0,,
304,L23 SuperBlanik,L23 SuperBlanik 18.2m,19.15,382.0,472.0,500.0,L23.POL,
573,L23 SuperBlanik,L23 SuperBlanik,19.15,382.0,472.0,500.0,L23.POL,
429,LAK-12,LAK-12,14.63,360.0,430.0,650.0,75.0:-0.48:125.0:-0.88:175.0:-1.97,
24,LAK-17 15m,LAK-17A 15m,9.06,220.0,285.0,453.0,95.0:-0.574:148.0:-1.31:200.0:-2.885,
25,LAK-17 15m,LAK-17A T 15m,9.06,270.0,285.0,500.0,95.0:-0.574:148.0:-1.31:200.0:-2.885,
26,LAK-17 15m,LAK-17B 15m,9.18,220.0,285.0,550.0,95.0:-0.574:148.0:-1.31:200.0:-2.885,
27,LAK-17 15m,LAK-17B FES 15m,9.18,270.0,285.0,550.0,95.0:-0.574:148.0:-1.31:200.0:-2.885,
28,LAK-17 15m,LAK-17B T 15m,9.18,270.0,285.0,550.0,95.0:-0.574:148.0:-1.31:200.0:-2.885,
93,LAK-17 18m,LAK-17A 18m,9.8,225.0,326.0,453.0,-0.0014=0.0511=-0.9300,80
94,LAK-17 18m,LAK-17A T 18m,9.8,275.0,326.0,500.0,-0.0014=0.0511=-0.9300,80
95,LAK-17 18m,LAK-17B 18m,10.32,225.0,326.0,600.0,-0.0014=0.0511=-0.9300,80
96,LAK-17 18m,LAK-17B FES 18m,10.32,275.0,326.0,600.0,-0.0014=0.0511=-0.9300,80
97,LAK-17 18m,LAK-17B T 18m,10.32,275.0,326.0,600.0,-0.0014=0.0511=-0.9300,80
419,LAK-17 21m,LAK-17B 21m,11.58,332,,600,,
420,LAK-17 21m,LAK-17B FES 21m,11.58,332,,600,,
421,LAK-17 21m,LAK-17B T 21m,11.58,332,,600,,
457,LAK-19 15m,LAK-19 15m,9.06,220.0,332.2,500.0,LAK19_15m.POL,
566,LAK-19 15m,LAK-19 T 15m,9.06,270.0,332.2,500.0,LAK19_15m.POL,
111,LAK-19 18m,LAK-19 18m,9.6,226.0,310.0,500.0,-0.0016=0.0580=-0.9700,80
565,LAK-19 18m,LAK-19 T 18m,9.6,276.0,310.0,500.0,-0.0016=0.0580=-0.9700,80
412,LAK-20 23m,LAK-20M 23m,15.49,479.0,,825.0,,
413,LAK-20 23m,LAK-20T 23m,15.49,494.0,,825.0,,
400,LAK-20 26m,LAK-20M 26m,16.4,500.0,,850.0,,
401,LAK-20 26m,LAK-20T 26m,16.4,485.0,,850.0,,
227,Lambada UFM-13,Lambada UFM-13,12.16,285.0,,472.5,,
217,Lambada UFM-15,Lambada UFM-15,,,,,,
232,LCF 2,LCF 2,10.0,190.0,282.0,300.0,LCF2.POL,
225,LOM 57,LOM 57,14.85,230.0,,330.0,,
226,LOM 57,LOM 57/1,14.85,230.0,,330.0,,
574,Lom-61 Favorit,Lom-61 Favorit,12.40,225.0,,325.0,,
145,LS 1,LS 1-0,9.74,200.0,287.33,312.0,LS1CII.POL,
146,LS 1,LS 1-c,9.74,200.0,287.33,312.0,LS1CII.POL,
147,LS 1,LS 1-d,9.74,200.0,287.33,341.0,LS1CII.POL,
159,LS 1-0 FG,LS 1-0 FG,9.74,200.0,287.33,312.0,LS1CII.POL,
270,LS 1-e/f,LS 1-e,9.74,200.0,287.33,341.0,LS1CII.POL,
271,LS 1-e/f,LS 1-f,9.74,230.0,328.238,390.0,LS1F.POL,
507,LS 1-e/f,LS 1-f neo,9.74,230.0,328.238,390.0,LS1F.POL,
29,LS 10 15m,LS 10 15m,10.27,288.0,370.0,540.0,100.0:-0.64:120.0:-0.8:150.0:-1.26,
30,LS 10 15m,LS 10-st 15m,10.27,338.0,370.0,540.0,100.0:-0.64:120.0:-0.8:150.0:-1.26,
85,LS 10 18m,LS 10 18m,11.45,295.0,426.0,600,ASG29-18.POL,
86,LS 10 18m,LS 10-st 18m,11.45,345.0,426.0,600,ASG29-18.POL,
344,LS 11,LS 11,13.9,480.0,,695.0,,
60,LS 2,LS 2,10.29,240.0,,360.0,,
50,LS 3,LS 3,10.5,270.0,372.75,472.0,LS3.POL,
51,LS 3,LS 3a,10.5,243.0,342.3,472.0,LS3A78.POL,
508,LS 3,LS 3 WL,10.5,270.0,372.75,472.0,LS3.POL,
126,LS 3 17m,LS 3 17m,11.22,255.0,370.26,370.0,LS317.POL,
254,LS 3 Std,LS 3 Std,,,,,,
478,LS 4,LS 4 WL,10.5,240.0,338.0,525.0,LS4.POL,
479,LS 4,LS 4 neo,10.5,240.0,338.0,505.0,LS4.POL,
483,LS 4,LS 4,10.5,235.0,338.0,525.0,LS4.POL,
424,LS 5,LS 5,12.4,287.0,405.48,450.0,LS5.POL,
32,LS 6,LS 6,10.5,260.0,355.0,525.0,LS6_1990.POL,
33,LS 6,LS 6 neo,10.5,260.0,355.0,525.0,LS6_1990.POL,
524,LS 6,LS 6 WL,10.5,260.0,355.0,525.0,LS6_1990.POL,
102,LS 6 17.5m,LS 6 17.5m,11.3,275.0,371.0,525.0,-0.0015359=0.05868=-1.0462,65
98,LS 6 18m,LS 6 18m,11.42,280.0,427.108,525.0,LS6C_18.POL,
472,LS 7,LS 7,9.73,235.0,324.0,486.0,LS790.POL,
473,LS 7,LS 7 WL,9.73,235.0,324.0,486.0,LS790.POL,
474,LS 7,LS 7 neo,9.73,235.0,324.0,486.0,LS790.POL,
458,LS 8,LS 8,10.5,275.0,346.5,525.0,LS8.POL,
459,LS 8,LS 8 neo,10.5,275.0,377.0,525.0,LS8_neo_2016.POL,
460,LS 8,LS 8T,10.5,325.0,346.5,525.0,LS8.POL,
461,LS 8,LS 8e neo,10.5,315.0,377.0,525.0,LS8_neo_2016.POL,
112,LS 8 18m,LS 8 18m,11.4,275.0,365.0,575.0,LS8_18.POL,
113,LS 8 18m,LS 8T 18m,11.4,325.0,365.0,575.0,LS8_18.POL,
576,LS 8 18m,LS 8e 18m,11.4,315.0,365.0,575.0,LS8_18.POL,
99,LS 9,LS 9,11.42,370.0,427.108,525.0,LS6C_18.POL,
236,Lunak LF 107,Lunak LF 107,13.38,205.0,,310.0,,
194,M-25,M-25,,,,,,
322,MDM-1 Fox,MDM-1 Fox,12.3,345.0,,525.0,,
255,mini LAK,mini LAK-FES,8.41,213.0,343.3,350.0,Lak17miniFES.POL,
532,mini LAK,mini LAK,8.41,163.0,343.3,350.0,Lak17miniFES.POL,
52,Mini Nimbus,Mini Nimbus,9.86,235.0,335.24,450.0,MINIMBUS.POL,
241,Minimoa,Minimoa,20.0,200.0,,350.0,,
160,Mistral C,Mistral C,10.9,235.0,342.26,350.0,MISTRALC.POL,
53,Mosquito,Mosquito,9.86,250.0,357.0,450.0,MOSQUITO.POL,
127,Mosquito 17m,Mosquito 17m,,,,,,
164,Mü 22b,Mü 22b,13.7,280.0,,360.0,,
131,Mü 26,Mü 26,15.3,212.0,,382.0,,
446,Mü 27,Mü 27,17.6,700.0,900.0,900.0,MUE27.POL,
13,Mü 31,Mü 31,9.0,240.0,,500.0,,
430,Nimbus 2,Nimbus 2,14.41,315.0,432.3,650.0,NIMBUS2.POL,
431,Nimbus 2,Nimbus 2M,14.41,375.0,432.3,650.0,NIMBUS2.POL,
432,Nimbus 2,Nimbus 2b,14.41,315.0,432.3,650.0,NIMBUS2.POL,
433,Nimbus 2,Nimbus 2c,14.41,315.0,432.3,650.0,NIMBUS2.POL,
422,Nimbus 3 22.9m,Nimbus 3 22.9m,16.26,380.0,480.26,750.0,NIMBUS3K.POL,
409,Nimbus 3 24.5m,Nimbus 3 24.5m,16.7,390.0,482.63,750.0,NIMBUS3L.POL,
410,Nimbus 3 24.5m,Nimbus 3T 24.5m,16.7,430.0,482.63,750.0,NIMBUS3L.POL,
402,Nimbus 3 25.5m,Nimbus 3 25.5m,16.9,380.0,488.4,750.0,NIMBUS3L.POL,
403,Nimbus 3 25.5m,Nimbus 3M 25.5m,16.9,380.0,488.4,750.0,NIMBUS3L.POL,
404,Nimbus 3 25.5m,Nimbus 3T 25.5m,16.9,380.0,488.4,750.0,NIMBUS3L.POL,
415,Nimbus 3D 24.6m,Nimbus 3D 24.6m,16.7,495.0,482.63,750.0,NIMBUS3L.POL,
416,Nimbus 3D 24.6m,Nimbus 3DM 24.6m,16.7,465.0,482.63,750.0,NIMBUS3L.POL,
417,Nimbus 3D 24.6m,Nimbus 3DT 24.6m,16.7,535.0,482.63,750.0,NIMBUS3L.POL,
577,Nimbus 3D 25.6m,Nimbus 3D 25.6m,16.91,505.0,723.75,820.0,NIMBUS3D.POL,
578,Nimbus 3D 25.6m,Nimbus 3DM 25.6m,16.91,575.0,723.75,820.0,NIMBUS3D.POL,
579,Nimbus 3D 25.6m,Nimbus 3DT 25.6m,16.91,545.0,723.75,820.0,NIMBUS3D.POL,
379,Nimbus 4,Nimbus 4,17.8,470.0,597.0,820.0,85.1:-0.41:127.98:-0.75:162.74:-1.4,
380,Nimbus 4,Nimbus 4M,17.8,550.0,597.0,820.0,85.1:-0.41:127.98:-0.75:162.74:-1.4,
381,Nimbus 4,Nimbus 4T,17.8,520.0,597.0,820.0,85.1:-0.41:127.98:-0.75:162.74:-1.4,
391,Nimbus 4D,Nimbus 4D,17.8,515.0,743.0,820.0,107.5:-0.5:142.74:-0.83:181.51:-1.6,
392,Nimbus 4D,Nimbus 4DM,17.8,595.0,820.0,820.0,100.01:-0.48:150.01:-0.87:190.76:-1.6,
393,Nimbus 4D,Nimbus 4DT,17.8,565.0,820.0,820.0,100.01:-0.48:150.01:-0.87:190.76:-1.6,
374,NimEta,NimEta X,18.6,710.0,950.0,970.0,ETA_D-KETA.POL,
606,Nixus,Nixus,14.69,650.0,,980.0,,
148,Panjo,Panjo V1,,,,,,
149,Panjo,Panjo V2,,,,,,
259,Pegase,Pegase,10.5,254.39,368.0,505.0,PEGASE97.POL,
598,Phoenix,Phoenix,14.36,164.0,,265.0,,
167,Phöbus A,Phöbus A,13.16,210.0,395,350.0,-0.001659=0.0515=-1.35,70
161,Phöbus B,Phöbus B,13.16,210.0,395,350.0,-0.001659=0.0515=-1.35,70
272,Phöbus B3/C,Phöbus B3,14.06,225.0,310.0,459.0,100.0:-0.7:120.0:-0.98:150.0:-1.58,
273,Phöbus B3/C,Phöbus C,14.06,225.0,310.0,459.0,100.0:-0.7:120.0:-0.98:150.0:-1.58,
245,Piccolo,Piccolo,10.60,180.0,,297.0,,
187,PIK-16 Vasama,PIK-16 Vasama,11.7,166.0,304.2,281.0,VASAMA.POL,
58,PIK-20 B,PIK-20 B,10.0,240.0,354.0,450.0,PIK20D.POL,
56,PIK-20 D/E,PIK-20 D,10.0,235.0,325.0,450.0,PIK20D.POL,
57,PIK-20 D/E,PIK-20 E,10.0,320.0,423.0,470.0,PIK20E.POL,
195,Pilatus B4 FG,Pilatus B4 FG,14.05,230.0,335.795,350.0,B4.POL,
553,Pilatus B4 RG,Pilatus B4 RG,14.05,230.0,335.795,350.0,B4.POL,
306,Pipistrel Sinus,Pipistrel Sinus,12.26,285.0,450.0,472.5,-0.00321408=0.1386=-2.38,65
213,PW 5,PW 5,10.16,185.0,245.87,300.0,PW5.POL,
297,PW 6,PW 6,15.3,360.0,546.0,546.0,104.0:-0.847:152.0:-1.994:200.0:-4.648,
317,PZL KR-03A Puchatek,PZL KR-03A Puchatek,19.44,350.0,,540.0,,
394,Quintus,Quintus,14.7,500.0,750.0,850.0,QuintusM.POL,
243,RF 4,RF 4,11.30,280.0,,390.0,,
307,RF-10,RF-10,18.70,600.0,,800.0,,
319,RF-5,RF-5,15.16,450.0,,650.0,,
308,RF-5B,RF-5B,19.0,500.0,,700.0,,
249,Rhönbussard,Rhönbussard,14.10,150.0,,245.0,,
248,Rhönsperber,Rhönsperber,15.10,177.0,,267.0,,
230,Sagitta,Sagitta,12.00,217.0,,320.0,,
330,Samburo AVo68-R,Samburo AVo68-R,20.7,585.0,,825.0,,
425,SB 10,SB 10,21.81,577.0,780.8,888.0,SB1073.POL,
46,SB 11,SB 11,10.56,295.0,385.44,470.0,SB1191.POL,
260,SB 12,SB 12,10.02,238.0,332.66,450.0,SB12.POL,
87,SB 14,SB 14,10.84,285.0,,541.0,,
196,SB 5,SB 5a,13.0,203.0,300.0,300.0,SB5.POL,
197,SB 5,SB 5b,13.0,203.0,300.0,300.0,SB5.POL,
198,SB 5,SB 5c,13.0,203.0,300.0,300.0,SB5.POL,
188,SB 5e,SB 5e,,,,,,
570,SB 7,SB 7,12.66,285.0,,390.0,,
556,Schweizer SGS 1-26,Schweizer SGS 1-26,14.87,202.0,315.0,318.0,82.3:-1.04:117.73:-1.88:156.86:-3.8,
557,Schweizer SGS 1-34,Schweizer SGS 1-34,14.03,259.0,354.0,381.0,89.82:-0.8:143.71:-2.1:179.64:-3.8,
558,Schweizer SGS 1-36 Sprite,Schweizer SGS 1-36 Sprite,13.1,215.0,322.0,322.0,75.98:-0.68:132.96:-2.0:170.95:-4.1,
559,Schweizer SGS 2-32,Schweizer SGS 2-32,16.7,377.0,,649.0,,
560,Schweizer SGS 2-33,Schweizer SGS 2-33,20.35,272.0,470.0,473.0,82.32:-0.96:130.0:-1.74:170.0:-3.44,
328,SF 25 C (2000),SF 25 C 2000,18.2,435.0,,650.0,,
320,SF 25 E,SF 25 E,,,,,,
331,SF 25B Falke,SF 25B Falke,17.50,360.0,,555.0,,
329,SF 25C-S Falke 76,SF 25C-S Falke 76,,,,,,
222,SF 26,SF 26,12.34,183.0,,330.0,,
199,SF 27,SF 27 A,12.0,225.0,315.0,350.0,SF27A.POL,
200,SF 27,SF 27 MA,12.0,255.0,315.0,350.0,SF27A.POL,
189,SF 27 B,SF 27 B,13.0,220.0,300.0,350.0,100.0:-0.81:120.0:-1.27:150.0:-2.5,
309,SF 28 A,SF 28 A,18.5,400.0,,610.0,,
201,SF 30,SF 30,10.9,175.0,332.45,265.0,SF30.POL,
298,SF 34,SF 34 FG,14.8,430.0,534.3,540.0,SF34.POL,
571,SF 34,SF 34 RG,14.8,430.0,534.3,540.0,SF34.POL,
533,SF 36,SF 36,15.60,515.0,,715.0,,
228,SFS 31,SFS 31,12.00,300.0,,430.0,,
162,SHK,SHK,14.70,260.0,,370.0,,
203,Sie-3,Sie-3,11.84,210.0,264.0,340.0,KA6E.POL,
287,Silence E 75,Silence E 75,,,,,,
168,Silent 2,Silent 2,8.9,130,302,300,-0.001620=0.0526=-0.93,65
218,Silent AE-1,Silent AE-1,,,,,,
219,Silent AE-1,Silent AE-1 pure,,,,,,
220,Silent Club,Silent Club,,,,,,
221,Silent Club,Silent Club pure,,,,,,
523,Slingsby T.21,Slingsby T.21,24.2,272.0,,476.0,,
535,Slingsby T.30 Prefect,Slingsby T.30 Prefect,14.25,176.9,,266.3,,
536,Slingsby T.31 Tandem Tutor,Slingsby T.31 Tandem Tutor,15.8,176.0,,376.0,,
537,Slingsby T.34 Sky,Slingsby T.34 Sky,17.37,250.0,,363.0,,
547,Slingsby T.41 Skylark 2,Slingsby T.41 Skylark 2,13.4,190.5,,308.0,,
538,Slingsby T.43 Skylark 3,Slingsby T.43 Skylark 3,16.1,253.0,,358.0,,
539,Slingsby T.49 Capstan,Slingsby T.49 Capstan,20.43,345.4,,567.0,,
540,Slingsby T.50 Skylark 4,Slingsby T.50 Skylark 4,16.1,258.0,395.0,395.0,78.0:-0.637:139.0:-2.0:200.0:-5.092,
542,Slingsby T.51 Dart,Slingsby T.51 Dart,,,,,,
543,Slingsby T.51 Dart 17,Slingsby T.51 Dart 17,13.87,226.0,,340.0,,
544,Slingsby T.51 Dart 17 R,Slingsby T.51 Dart 17 R,13.87,226.0,,340.0,,
545,Slingsby T.53,Slingsby T.53,18.02,354.0,,580.0,,
546,Slingsby T.65 Vega,Slingsby T.65 Vega,10.1,236.0,,510.0,,
204,Solo L 33,Solo L 33,11.0,210.0,321.2,340.0,SOLO-L33.POL,
246,Song,Song,,,,,,
603,SparrowHawk,SparrowHawk,6.5,100.0,212.55,230.0,SPHawk_13k5m.POL,
244,Spatz 13m,Spatz 13m,10.90,135.0,,245.0,,
333,Specht,Specht,16.64,210.0,,390.0,,
205,Std. Austria,Std. Austria,13.5,205.0,,323.0,,
191,Std. Austria SH,Std. Austria SH,13.5,205.0,,323.0,,
182,Std. Austria SH 1,Std. Austria SH 1,13.5,205.0,,323.0,,
134,Std. Cirrus,Std. Cirrus,10.04,202.0,357.4,390.0,STDCIRRUS_2011.POL,
277,Std. Cirrus,Std. Cirrus WL,10.04,202.0,357.4,390.0,STDCIRRUS_2011.POL,
276,Std. Cirrus 16m,Std. Cirrus 16m,10.36,220.0,308.728,390.0,CIRRUS16.POL,
150,Std. Cirrus Top,Std. Cirrus Top,10.04,242.0,357.4,390.0,STDCIRRUS_2011.POL,
151,Std. Libelle,Std. Libelle,9.8,200.0,318.8,350.0,StdLibelle201B_2018.POL,
493,Std. Libelle,Std. Libelle WL,9.8,200.0,318.8,350.0,StdLibelle201B_2018.POL,
133,Std. Libelle 17m,Std. Libelle 17m,,,,,,
443,Stemme S10,Stemme S10,18.74,645.0,834.0,850.0,S10.POL,
444,Stemme S10,Stemme S10-VT,18.74,645.0,834.0,850.0,S10.POL,
534,Stemme S12,Stemme S12,19.95,690.0,900.0,900.0,-0.00185=0.094=-1.79,75
247,Stratos 2e,Stratos 2e,15.0,155.0,,280.0,,
237,Swift S-1,Swift S-1,11.8,280.0,,390.0,,
233,SZD-12 Mucha 100,SZD-12 Mucha 100,15.0,195.0,,290.0,,
229,SZD-22 Mucha Std.,SZD-22-Mucha Std.,14.98,219.0,,350.0,,
190,SZD-24 Foka 4,SZD-24 Foka 4,12.16,245.0,,385.0,,
202,SZD-30 Pirat,SZD-30 Pirat,13.8,260.0,358.8,370.0,PIRAT.POL,
516,SZD-32 Foka 5,SZD-32 Foka 5,12.16,256.0,,385.0,,
141,SZD-36 Cobra 15,SZD-36 Cobra 15,11.6,275.0,350.0,405.0,70.8:-0.6:94.5:-0.69:148.1:-1.83,
436,SZD-38 Jantar 1,SZD-38 Jantar 1,13.38,293.0,401,515.0,-0.0039=0.2005=-3.23,70
132,SZD-39 Cobra 17,SZD-39 Cobra 17,17.00,298.0,,490.0,,
517,SZD-41 Jantar Std.,SZD-41 Jantar Std.,10.66,244.0,,460.0,,
518,SZD-41 Jantar Std.,SZD-41 Jantar Std. WL,10.66,244.0,,460.0,,
528,SZD-41 Jantar Std.,SZD-41 Jantar Std. T,10.66,294.0,,460.0,,
434,SZD-42 Jantar 2,SZD-42 Jantar 2,14.27,362.0,482.0,649.0,JANTAR2B.POL,
435,SZD-42 Jantar 2,SZD-42-2 Jantar 2b,14.3,356.0,474.76,649.0,JANTAR2B.POL,
316,SZD-45 Ogar,SZD-45 Ogar,17.53,470.0,,700.0,,
278,SZD-48 Jantar Std. 2,SZD-48 Jantar Std. 2,10.66,247.0,357.11,520.0,STDJANT2.POL,
506,SZD-48 Jantar Std. 2,SZD-48 Jantar Std. 2 WL,10.66,247.0,357.11,520.0,STDJANT2.POL,
519,SZD-48-3 Jantar Std. 3,SZD-48-3 Jantar Std. 3,10.66,247.0,329.39,520.0,STJANTAR.POL,
520,SZD-48-3 Jantar Std. 3,SZD-48-3 Jantar Std. 3 WL,10.66,247.0,329.39,520.0,STJANTAR.POL,
300,SZD-50 Puchacz,SZD-50 Puchacz,18.16,455.0,544.8,570.0,PUCHACZ.POL,
181,SZD-51 Junior,SZD-51 Junior,12.51,225.0,306.495,380.0,JUNIOR.POL,
286,SZD-54-2 Perkoz 17.5m,SZD-54-2 Perkoz 17.5m,16.36,375.0,442.0,590.0,99.0:-0.86:175.0:-4.22:250.0:-13.01,
365,SZD-54-2 Perkoz 20m WL,SZD-54-2 Perkoz 20m WL,17.3,380.0,442.0,615.0,91.0:-0.69:170.0:-3.98:250.0:-12.66,
475,SZD-55-1 Nexus,SZD-55-1 Nexus,9.6,215.0,309.12,500.0,SZD55.POL,
31,SZD-56-1 Diana,SZD-56-1 Diana,8.15,182.0,264.06,500.0,SZD56.POL,
1,SZD-56-2 Diana 2,SZD-56-2 Diana 2,8.64,185.0,242,525.0,-0.002035=0.0835=-1.33,70
484,SZD-56-2 Diana 2,SZD-56-2 Diana 2 FES,8.64,244.0,242,525.0,-0.002035=0.0835=-1.33,70
274,SZD-59 Acro 13.2m,SZD-59 Acro 13.2m,9.8,260.0,,380.0,,
262,SZD-59 Acro 15m,SZD-59 15m WL,10.66,270.0,,540.0,,
312,SZD-9 Bocian,SZD-9 Bocian,18.12,450.0,509.0,540.0,BOCIAN.POL,
323,Taifun 17e,Taifun 17e,17.6,580.0,,820.0,,
280,Taurus,Taurus,12.26,306.0,472.0,550.0,100.0:-0.71:120.0:-0.83:150.0:-1.35,
169,TST-10,TST-10 Atlas,9.85,140.0,,300.0,,
170,TST-10,TST-10 Atlas M,9.85,180.0,,300.0,,
40,Ventus 15m,Ventus a 15m,9.51,250.0,332.85,525.0,VENTUSA.POL,
41,Ventus 15m,Ventus b 15m,9.51,250.0,332.85,525.0,VENTUSB.POL,
42,Ventus 15m,Ventus bT 15m,9.51,300.0,332.85,525.0,VENTUSB.POL,
43,Ventus 15m,Ventus cM 15m,9.51,308.0,379.0,430.0,VentusCT_WL_1991.pol,
44,Ventus 15m,Ventus cT 15m,9.51,258.0,379.0,430.0,VentusCT_WL_1991.pol,
116,Ventus 16.6m,Ventus a 16.6m,9.96,243.0,323.7,430.0,VENTA166.POL,
117,Ventus 16.6m,Ventus b 16.6m,9.96,243.0,323.7,430.0,VENTA166.POL,
118,Ventus 16.6m,Ventus bT 16.6m,9.96,293.0,323.7,430.0,VENTA166.POL,
15,Ventus 2,Ventus 2a,9.67,240.0,326.0,525.0,Ventus2a_1998.pol,
16,Ventus 2,Ventus 2ax,9.67,240.0,326.0,525.0,Ventus2a_1998.pol,
17,Ventus 2,Ventus 2b,9.67,240.0,326.0,525.0,Ventus2a_1998.pol,
599,Ventus 2,Ventus 2bx,9.67,240.0,326.0,525.0,Ventus2a_1998.pol,
73,Ventus 2 cxa,Ventus 2 cxa 15m,9.67,240.0,326.0,525.0,Ventus2a_1998.pol,
18,Ventus 2c 15m,Ventus 2c 15m,9.67,240.0,326.0,525.0,Ventus2a_1998.pol,
19,Ventus 2c 15m,Ventus 2cM 15m,9.67,340.0,326.0,525.0,Ventus2a_1998.pol,
20,Ventus 2c 15m,Ventus 2cT 15m,9.67,290.0,326.0,525.0,Ventus2a_1998.pol,
583,Ventus 2c 15m,Ventus 2cxa 15m,9.67,240.0,326.0,525.0,Ventus2a_1998.pol,
88,Ventus 2c 18m,Ventus 2c 18m,11.0,310.0,432.4,525.0,VENTUS2ct_18_new.POL,
89,Ventus 2c 18m,Ventus 2cM 18m,11.0,380.0,432.4,525.0,VENTUS2ct_18_new.POL,
90,Ventus 2c 18m,Ventus 2cT 18m,11.0,342.4,432.4,525.0,VENTUS2ct_18_new.POL,
490,Ventus 2c 18m,Ventus 2cx 18m,11.0,310.0,432.4,600.0,VENTUS2ct_18_new.POL,
491,Ventus 2c 18m,Ventus 2cxT 18m,11.0,342.4,432.4,600.0,VENTUS2ct_18_new.POL,
492,Ventus 2c 18m,Ventus 2cxM 18m,11.0,400.0,432.4,600.0,VENTUS2ct_18_new.POL,
548,Ventus 2c 18m,Ventus 2cxa FES 18m,11.0,342.4,432.4,600.0,VENTUS2ct_18_new.POL,
582,Ventus 2c 18m,Ventus 2cxa 18m,11.0,310.4,432.4,600.0,VENTUS2ct_18_new.POL,
5,Ventus 3 15m,Ventus 3 15m,9.53,290,321.3,525,Ventus2a_1998.pol,
6,Ventus 3 15m,Ventus 3F 15m,9.53,340,321.3,525,Ventus2a_1998.pol,
7,Ventus 3 15m,Ventus 3M 15m,9.53,380,321.3,525,Ventus2a_1998.pol,
8,Ventus 3 15m,Ventus 3T 15m,9.53,340,321.3,525,Ventus2a_1998.pol,
66,Ventus 3 18m,Ventus 3 18m,10.84,310.0,582.2,600.0,Ventus3.POL,
67,Ventus 3 18m,Ventus 3F 18m,10.84,360.0,582.2,600.0,Ventus3.POL,
68,Ventus 3 18m,Ventus 3M 18m,10.84,400.0,582.2,600.0,Ventus3.POL,
69,Ventus 3 18m,Ventus 3T 18m,10.84,360.0,582.2,600.0,Ventus3.POL,
103,Ventus c 17.6m,Ventus c 17.6m,10.15,253.0,387.73,500.0,VENT_176.POL,
104,Ventus c 17.6m,Ventus cM 17.6m,10.15,310.0,387.73,430.0,VENT_176.POL,
105,Ventus c 17.6m,Ventus cT 17.6m,10.15,253.0,387.73,500.0,VENT_176.POL,
163,VSO-10,VSO-10,12.0,250.0,348.0,380.0,VSO10.POL,
171,VSO-10 C,VSO-10 C,12.0,250.0,348.0,380.0,VSO10C.POL,
206,VT-16 Orlik,VT-16 Orlik,12.8,215.0,335.0,345.0,80.0:-0.7:100.0:-1.05:120.0:-1.65,
207,VT-16 Orlik,VT-116 Orlik 2,12.8,215.0,335.0,345.0,80.0:-0.7:100.0:-1.05:120.0:-1.65,
234,Weihe 50,Weihe 50,18.20,195.0,,355.0,,
208,Zugvogel,Zugvogel I,,,,,,
209,Zugvogel,Zugvogel II,,,,,,
210,Zugvogel,Zugvogel IV,,,,,,
192,Zugvogel IIIa,Zugvogel IIIa,14.48,245.0,,365.0,,
183,Zugvogel IIIb,Zugvogel IIIb,14.48,245.0,,365.0,,
610,Mü 17,Mü 17,13.30,160.0,,255.0,,
611,LS 8,LS 8T neo,10.5,325.0,377.0,525.0,LS8_neo_2016.POL,
612,Olympia Meise,Olympia Meise,15.00,160.0,,255.0,,
613,SZD-59 Acro 15m,SZD-59 15m,10.66,270.0,,540.0,,
614,Archaeopteryx,Archaeopteryx,12.8,64,,191,,
615,LS 4,LS 4 Jet neo,10.5,240.0,338.0,505.0,LS4.POL,
618,JS2 21m,JS2 21m,12.25,420.0,610.0,720.0,JS-MD-1C-21m.POL,
619,JS2 18m,JS2 18m,11.1,400.0,436.33,640.0,VENTUS2ct_18_new.POL,
620,E-Birdy,E-Birdy,8.30,115.0,230.0,280.0,,
621,LAK-17 15m,LAK-17C FES 15m,9.18,270.0,285.0,550.0,100.0:-0.6:120.0:-0.72:150.0:-1.09,
622,LAK-17 18m,LAK-17C 18m,10.32,225.0,326.0,600.0,-0.0014=0.0511=-0.9300,80
