WeGlide ID,Muster,Polare,Kennzeichen,Jahr,Masse90kg,MaximaleMasse,Klasse,DMSt_Index_2019
116,Ventus a (16.6m),VENTA166.POL,D-5335,1984,333,430,18m,113
44,Ventus cT (15m WL),VentusCT_WL_1991.pol,D-KITL,1991,348,430,15m,110
15,Ventus 2a 1997,Ventus2a_1997.pol,D-9669,1997,330,525,15m,114
15,Ventus 2a 1998,Ventus2a_1998.pol,D-6996,1998,330,525,15m,114
40,Ventus a (15m),VENTUSA.POL,D-7072,1981,340,525,15m,110
41,Ventus b (15m),VENTUSB.POL,D-4060,1981,340,525,15m,110
163,Orlican VSO 10 EZ,VSO10.POL,D-XXXX,1111,340,380,Std,96
171,Orlican VSO 10C FG,VSO10C.POL,D-XXXX,1111,340,380,Std,94
336,ASG 32 Mi,ASG32.POL,D-KBAS,2018,645,850,Doppel,114
151,Std Libelle 201B,StdLibelle201B_2018.POL,D-1178,2018,290,350,Club,98
447,ASW 28 (15m),ASW28_2001.POL,D-6734,2001,325,525,Std,108
459,LS 8 neo 2016,LS8_neo_2016.POL,D-8994,2016,365,525,Std,108
447,ASW 28 (15m),ASW28-15_2003.POL,D-3618,2003,325,525,Std,108
457,LAK-19 (15m),LAK19_15m.POL,DLY-GDZ,2003,310,500,Std,108
111,LAK-19 (18m),LAK19_18m.POL,DLY-GDZ,2003,316,500,18m,114
281,G 103 Twin III (20m),Twin3_20m.POL,D-8555,1995,580,650,Doppel,99
82,HPH 304S Shark,HPH304_Shark_18m.POL,OK-1011,2012,370,600,18m,118
106,ASW 28 (18m) 2005,ASW28-18E_2005.POL,D-KPAS,2005,360,575,18m,114
106,ASW 28 (18m) 2007,ASW28-18_2007.POL,D-9118,2007,360,575,18m,114
340,Arcus T,ArcusT_2011.POL,D-KARC,2011,575,800,Doppel,114
373,ETA,ETA_D-KETA.POL,D-KETA,2002,930,970,Offen,125
345,DG-1000 (20m),DG1000_20m.POL,D-1006,2003,591,750,Doppel,110
90,Ventus 2cT (18m),Ventus2cT_2002.POL,D-KKIK,2002,400,525,18m,118
90,Ventus 2cT (18m) NEW,VENTUS2ct_18_new.POL,D-KKIK,2002,432.4,525,18m,118
458,LS8,LS8.POL,D-1871,1994,365,525,Std,108
119,ASW20CL,ASW20CL.POL,D-8709,1985,275,430,18m,112
