ID,Glider,Model,Manufacturer,Competition Class,Kind,Double Seater,Winglets,Exclude Live,2016,2017,2018,2019,2020,2021
84,LF 20 18m,LF 20 18m,Lange Aviation,18,GL,,,,118,118,118,118,118,118
85,LS 10 18m,LS 10 18m,Rolladen-Schneider,18,GL,,,,118,118,120,120,118,118
86,LS 10 18m,LS 10-st 18m,Rolladen-Schneider,18,MG,,,,118,118,120,120,118,118
87,SB 14,SB 14,Akaflieg Braunschweig,18,GL,,,,118,118,118,118,118,118
88,Ventus 2c 18m,Ventus 2c 18m,Schempp-Hirth,18,GL,,,,118,118,118,118,118,118
89,Ventus 2c 18m,Ventus 2cM 18m,Schempp-Hirth,18,MG,,,,118,118,118,118,118,118
90,Ventus 2c 18m,Ventus 2cT 18m,Schempp-Hirth,18,MG,,,,118,118,118,118,118,118
91,ASH 26,ASH 26,Alexander Schleicher,18,GL,,,,117,117,117,117,117,117
92,ASH 26,ASH 26 E,Alexander Schleicher,18,MG,,,,117,117,117,117,117,117
93,LAK-17 18m,LAK-17A 18m,Sportinė Aviacija,18,GL,,,,117,117,117,117,117,117
94,LAK-17 18m,LAK-17A T 18m,Sportinė Aviacija,18,MG,,,,117,117,117,117,117,117
95,LAK-17 18m,LAK-17B 18m,Sportinė Aviacija,18,GL,,,,117,117,117,117,117,117
96,LAK-17 18m,LAK-17B FES 18m,Sportinė Aviacija,18,FG,,,,117,117,117,117,117,117
97,LAK-17 18m,LAK-17B T 18m,Sportinė Aviacija,18,MG,,,,117,117,117,117,117,117
98,LS 6 18m,LS 6 18m,Rolladen-Schneider,18,GL,,,,117,117,117,117,117,117
99,LS 9,LS 9,Rolladen-Schneider,18,MG,,,,117,117,117,117,117,117
100,DG 600 18m,DG 600 18m,DG Flugzeugbau,18,GL,,,,116,116,116,116,116,116
101,DG 600 18m,DG 600M 18m,DG Flugzeugbau,18,MG,,,,116,116,116,116,116,116
102,LS 6 17.5m,LS 6 17.5m,Rolladen-Schneider,18,GL,,,,116,116,116,116,116,116
103,Ventus c 17.6m,Ventus c 17.6m,Schempp-Hirth,18,GL,,,,115,115,115,115,115,115
104,Ventus c 17.6m,Ventus cM 17.6m,Schempp-Hirth,18,MG,,,,115,115,115,115,115,115
105,Ventus c 17.6m,Ventus cT 17.6m,Schempp-Hirth,18,MG,,,,115,115,115,115,115,115
106,ASW 28 18m,ASW 28 18m,Alexander Schleicher,18,GL,,,,114,114,116,114,114,114
107,ASW 28 18m,ASW 28 E 18m,Alexander Schleicher,18,MG,,,,114,114,116,114,114,114
108,Discus 2c 18m,Discus 2c 18m,Schempp-Hirth,18,GL,,,,114,114,114,114,114,114
109,Discus 2c 18m,Discus 2cFES 18m,Schempp-Hirth,18,FG,,,,114,114,114,114,114,114
110,Discus 2c 18m,Discus 2cT 18m,Schempp-Hirth,18,MG,,,,114,114,114,114,114,114
111,LAK-19 18m,LAK-19 18m,Sportinė Aviacija,18,GL,,,,114,114,116,114,114,114
112,LS 8 18m,LS 8 18m,DG Flugzeugbau,18,GL,,,,114,114,114,114,114,114
113,LS 8 18m,LS 8T 18m,DG Flugzeugbau,18,MG,,,,114,114,114,114,114,114
114,DG 600 17m,DG 600 17m,DG Flugzeugbau,18,GL,,,,113,113,113,113,113,113
115,DG 600 17m,DG 600M 17m,DG Flugzeugbau,18,MG,,,,113,113,113,113,113,113
116,Ventus 16.6m,Ventus a 16.6m,Schempp-Hirth,18,GL,,,,113,113,113,113,113,113
117,Ventus 16.6m,Ventus b 16.6m,Schempp-Hirth,18,GL,,,,113,113,113,113,113,113
118,Ventus 16.6m,Ventus bT 16.6m,Schempp-Hirth,18,MG,,,,113,113,113,113,113,113
119,ASW 20 16.6m,ASW 20 16.6m,Alexander Schleicher,18,GL,,,,112,112,112,112,112,112
120,Glasflügel 304 17m,Glasflügel 304 17m,Glasflügel,18,GL,,,,112,112,112,112,112,112
121,HpH 304 CZ 17.4m,HpH 304 CZ 17.4m,HpH Sailplanes,18,GL,,,,112,112,112,112,112,112
122,ASW 20 Top 16.6m,ASW 20 Top 16.6m,Alexander Schleicher,18,MG,,,,110,110,110,110,110,110
123,Kestrel 17m,Kestrel 17m,Glasflügel,18,GL,,,,110,110,110,110,110,110
124,DG 200 17m,DG 200 17m,DG Flugzeugbau,18,GL,,,,109,109,109,109,109,109
125,DG 400 17m,DG 400 17m,DG Flugzeugbau,18,MG,,,,109,109,109,109,109,109
126,LS 3 17m,LS 3 17m,Rolladen-Schneider,18,GL,,,,109,109,109,109,109,109
127,Mosquito 17m,Mosquito 17m,Glasflügel,18,GL,,,,109,109,109,109,109,109
128,BS-1,BS-1,Glasflügel,18,GL,,,,108,108,108,108,108,108
129,D 36,D 36,Akaflieg Darmstadt,18,GL,,,,108,108,108,108,108,108
130,Diamant 18,Diamant 18,FFA,18,GL,,,,108,108,108,108,108,108
131,Mü 26,Mü 26,Akaflieg München,18,GL,,,,102,102,102,102,102,102
132,SZD-39 Cobra 17,SZD-39 Cobra 17,PZL Bielsko,18,GL,,,,100,100,100,100,100,100
133,Std. Libelle 17m,Std. Libelle 17m,Glasflügel,18,GL,,,,100,100,100,100,100,100
134,Std. Cirrus,Std. Cirrus,Schempp-Hirth,Club,GL,,,,99,99,99,99,99,99
135,ASW 15,ASW 15,Alexander Schleicher,Club,GL,,,,97,97,97,97,97,97
136,ASW 19 Club,ASW 19 Club,Alexander Schleicher,Club,GL,,,,98,98,98,98,98,98
137,Apis 2,Apis 2 15m,Pipistrel,Club,GL,,,,98,98,98,98,98,98
138,Apis 2,Apis 2 M 15m,Pipistrel,Club,MG,,,,98,98,98,98,98,98
139,Apis 2,Apis 2 MCs 15m,Pipistrel,Club,MG,,,,98,98,98,98,98,98
140,Bee,Bee,Pipistrel,Club,MG,,,,98,98,98,98,98,98
141,SZD-36 Cobra 15,SZD-36 Cobra 15,PZL Bielsko,Club,GL,,,,98,98,98,98,98,98
142,D 38,D 38,Akaflieg Darmstadt,Club,GL,,,,98,98,98,98,98,98
143,DG 100 Club,DG 100 Club,DG Flugzeugbau,Club,GL,,,,98,98,98,98,98,98
144,Delphin 1,Delphin 1,-,Club,GL,,,,98,98,98,98,98,98
145,LS 1,LS 1-0,Rolladen-Schneider,Club,GL,,,,98,98,98,98,98,98
146,LS 1,LS 1-c,Rolladen-Schneider,Club,GL,,,,98,98,98,98,98,98
147,LS 1,LS 1-d,Rolladen-Schneider,Club,GL,,,,98,98,98,98,98,98
148,Panjo,Panjo V1,-,Club,GL,,,,98,98,98,98,98,98
149,Panjo,Panjo V2,-,Club,GL,,,,98,98,98,98,98,98
150,Std. Cirrus Top,Std. Cirrus Top,Schempp-Hirth,Club,GL,,,,98,98,98,98,98,98
151,Std. Libelle,Std. Libelle,Glasflügel,Club,GL,,,,98,98,98,98,98,98
152,Astir CS,Astir CS,Grob Aircraft,Club,GL,,,,96,96,96,96,96,96
153,Astir CS,Astir CS 77,Grob Aircraft,Club,GL,,,,96,96,96,96,96,96
154,Club Libelle,Club Libelle,Glasflügel,Club,GL,,,,96,96,96,96,96,96
155,Elfe,Elfe S3,Neukom,Club,GL,,,,96,96,96,96,96,96
156,Elfe,Elfe S4,Neukom,Club,GL,,,,96,96,96,96,96,96
157,H-101 Salto 15.5m,H-101 Salto 15.5m,Glasflügel,Club,GL,,,,96,96,96,96,96,96
158,IS 29 D,IS 29 D,ICA,Club,GL,,,,96,96,96,96,96,96
159,LS 1-0 FG,LS 1-0 FG,Rolladen-Schneider,Club,GL,,,,96,96,96,96,96,96
160,Mistral C,Mistral C,Mistral-Flugzeugbau,Club,GL,,,,96,96,96,96,96,96
161,Phöbus B,Phöbus B,Bölkow,Club,GL,,,,96,96,96,96,96,96
162,SHK,SHK,Schempp-Hirth,Club,GL,,,,96,96,96,96,96,96
163,VSO-10,VSO-10,VSO,Club,GL,,,,96,96,96,96,96,96
164,Mü 22b,Mü 22b,Akaflieg München,Club,GL,,,,95,95,95,95,95,95
165,Astir CS Top,Astir CS Top,Grob Aircraft,Club,GL,,,,94,94,94,94,94,94
166,Elfe FG,Elfe FG,Neukom,Club,GL,,,,94,94,94,94,94,94
167,Phöbus A,Phöbus A,Bölkow,Club,GL,,,,94,94,94,94,94,94
168,Silent 2,Silent 2,Alisport,Club,MG,,,,94,94,94,94,94,94
169,TST-10,TST-10 Atlas,TeST Gliders,Club,GL,,,,94,94,94,94,94,94
170,TST-10,TST-10 Atlas M,TeST Gliders,Club,MG,,,,94,94,94,94,94,94
171,VSO-10 C,VSO-10 C,VSO,Club,GL,,,,94,94,94,94,94,94
172,Apis WR,Apis WR,Pipistrel,Club,GL,,,,93,93,93,93,93,93
173,Astir CS Jeans,Astir CS Jeans,Grob Aircraft,Club,GL,,,,93,93,93,93,93,93
