ID,Glider,Models,Manufacturer,Competition Class,2016,2017,2018,2019,2020
200,Std. Austria SH,Std. Austria SH,Club,88,88,88,88,88
201,Zugvogel 3a,Zugvogel 3a,Club,88,88,88,88,88
202,Greif 2,Greif 2,Club,86,86,86,86,86
203,M-25,M-25,Club,86,86,86,86,86
204,Pilatus B4 FG,Pilatus B4 FG,Club,86,86,86,86,86
205,SB 5,SB 5[abc],Club,86,86,86,86,86
206,SF 27,SF 27 (A|MA),Club,86,86,86,86,86
207,SF 30,SF 30,Club,86,86,86,86,86
208,SIE 3,SIE 3,Club,86,86,86,86,86
209,Solo L 33,Solo L 33,Club,86,86,86,86,86
210,Std. Austria,Std. Austria,Club,86,86,86,86,86
211,SZD 30 Pirat,SZD 30 Pirat,Club,86,86,86,86,86
212,VT-16 Orlic,VT-16 Orlic( 2)?,Club,86,86,86,86,86
213,Zugvogel,Zugvogel (I|II|IV),Club,86,86,86,86,86
214,Ka 6 E,Ka 6 E,Alexander Schleicher,Club,85,85,85,85,85
215,Ka10,Ka10,Club,85,85,85,85,85
216,PW 5,PW 5,Club,85,85,85,85,85
217,Alpin,Alpin( T)?,Club,84,84,84,84,84
218,H 30,H 30,Club,84,84,84,84,84
219,Lambada UFM-15,Lambada UFM-15,Club,84,84,84,84,84
220,Silent AE-1,Silent AE-1( pure)?,Club,84,84,84,84,84
221,Silent Club,Silent Club( pure)?,Club,84,84,84,84,84
222,SF 26,SF 26,Club,83,83,83,83,83
223,ASK 14,ASK 14,Alexander Schleicher,Club,82,82,82,82,82
224,Ka 6,Ka 6,Alexander Schleicher,Club,82,82,82,82,82
225,Lambada UFM-13,Lambada UFM-13,Club,82,82,82,82,82
226,SZD 22 Mucha Std.,SZD 22 Mucha Std.,Club,82,82,82,82,82
227,Sagitta,Sagitta,Club,82,82,82,82,82
228,SFS 31,SFS 31,Club,82,82,82,82,82
229,LOM 57,LOM 57(/1)?,Club,82,82,82,82,82
230,Duo Banjo,Duo Banjo,Club,80,80,80,80,80
231,Mucha,Mucha,Club,80,80,80,80,80
232,LCF 2,LCF 2,Club,80,80,80,80,80
233,Weihe 50,Weihe 50,Club,80,80,80,80,80
234,L-Spatz,L-Spatz,Club,78,78,78,78,78
235,Lunak LF 107,Lunak LF 107,Club,78,78,78,78,78
236,Swift S-1,Swift S-1,Club,77,77,77,77,77
237,Banjo,Banjo,Club,76,76,76,76,76
238,K 8,K 8,Alexander Schleicher,Club,76,76,76,76,76
239,Minimoa,Minimoa,Schempp-Hirth,Club,76,76,76,76,76
240,Ahrens Delphin V1,Ahrens Delphin V1,Club,-,-,76,76,76
241,AV 36,AV 36,Club,74,74,74,74,74
242,RF 4,RF 4,Club,74,74,74,74,74
243,Spatz 13m,Spatz 13m,Club,74,74,74,74,74
244,Piccolo,Piccolo,Club,68,68,68,68,68
245,Song,Song,Club,65,65,65,65,65
246,Stratos 2e,Stratos 2e,Club,-,-,-,64,64
247,Rhönsperber,Rhönsperber,Club,62,62,62,62,62
248,Rhönbussard,Rhönbussard,Club,60,60,60,60,60
249,Grunau Baby,Grunau Baby,Club,54,54,54,54,54
250,Ka/1 /3 /4,Ka [134],Alexander Schleicher,Club,54,54,54,54,54
251,Twin Shark,Twin Shark,Doppelsitzer,-,-,115,115,113
252,Arcus,Arcus( E| T| M)?,Schempp-Hirth,Doppelsitzer,114,114,116,116,114
253,ASG 32,ASG 32( EL)?,Alexander Schleicher,Doppelsitzer,114,114,116,116,114
254,LS 11,LS 11,Doppelsitzer,111,111,111,111,111
255,Duo Discus XL,Duo Discus XLT?,Schempp-Hirth,Doppelsitzer,111,111,111,111,111
256,DG 1000 20m,DG 1000[STM] 20m,Doppelsitzer,110,110,110,110,110
257,Duo Discus,Duo Discus( T)?,Schempp-Hirth,Doppelsitzer,110,110,110,110,110
258,fs 33,fs 33,Doppelsitzer,109,109,109,109,109
259,Calif A 21,Calif A 21( SJ)?,Doppelsitzer,108,108,108,108,108
260,B 12,B 12,Doppelsitzer,106,106,106,106,106
261,DG 1000 18m,DG 1000[STM] 18m,Doppelsitzer,106,106,106,106,106
262,Janus C FG,Janus C[TM]? FG,Doppelsitzer,106,106,106,106,106
263,DG 500 20m,DG 500M? 20m,Doppelsitzer,104,104,104,104,104
264,DG 505 M Orion 20m,DG 505 M Orion 20m,Doppelsitzer,104,104,104,104,104
265,DG 1001 18m FG,DG 1001 18m FG,Doppelsitzer,104,104,104,104,104
266,Janus 18.2m,Janus 18.2m,Schempp-Hirth,Doppelsitzer,102,102,102,102,102
267,SZD-54-2 Perkoz 20m WL,SZD-54-2 Perkoz 20m WL,Doppelsitzer,102,102,102,102,102
268,DG 500 Trainer RG,DG 50[05] Trainer RG,Doppelsitzer,100,100,100,100,100
269,DG 505 6 Orion,DG 505 6 Orion,Doppelsitzer,100,100,100,100,100
270,fs 31,fs 31,Doppelsitzer,99,99,99,99,99
271,Taurus,Taurus,Doppelsitzer,99,99,99,99,99
272,Twin 3 20m,Twin 3 20m,Doppelsitzer,99,99,99,99,99
273,D 43 18m,D 43 18m,Doppelsitzer,-,99,99,99,99
274,AFH 22,AFH 22,Doppelsitzer,98,98,98,98,98
275,DG 500 Trainer FG,DG 50[05] Trainer FG,Doppelsitzer,98,98,98,98,98
276,Silence E 75,Silence E 75,Doppelsitzer,98,98,98,98,98
277,SZD-54-2 Perkoz 17.5m,SZD-54-2 Perkoz 17.5m,Doppelsitzer,98,98,98,98,98
278,Twin 3,Twin 3,Doppelsitzer,97,97,97,97,97
279,G103 Twin 3,G103 Twin 3( SL)?,Doppelsitzer,95,95,95,95,95
280,Twin Astir RG,Twin Astir RG,Doppelsitzer,94,94,94,94,94
281,ASK 21,ASK 21( B| Mi)?,Doppelsitzer,92,92,92,92,92
282,G103 Twin 2,G103 Twin 2,Doppelsitzer,92,92,92,92,92
283,Twin Astir Trainer FG,Twin Astir Trainer FG,Doppelsitzer,92,92,92,92,92
284,PW 6,PW 6,Doppelsitzer,86,86,86,86,86
285,SF 34 FG,SF 34 FG,Doppelsitzer,86,86,86,86,86
286,SZD 50 Puchacz,SZD 50 Puchacz,Doppelsitzer,84,84,84,84,84
287,IS 28 B2,IS 28 B2,Doppelsitzer,84,84,84,84,84
288,Bergfalke 4,Bergfalke 4,Doppelsitzer,80,80,80,80,80
289,Condor 4,Condor 4,Doppelsitzer,80,80,80,80,80
290,Kranich 3,Kranich 3,Doppelsitzer,80,80,80,80,80
291,L23 SuperBlanik,L23 SuperBlanik,Doppelsitzer,80,80,80,80,80
292,ASK 13,ASK 13,Alexander Schleicher,Doppelsitzer,78,78,78,78,78
293,Pipistrel Sinus,Pipistrel Sinus,Doppelsitzer,78,78,78,78,78
294,RF 10,RF 10,Doppelsitzer,78,78,78,78,78
295,RF 5B,RF 5B,Doppelsitzer,78,78,78,78,78
296,SF 28A,SF 28A,Doppelsitzer,78,78,78,78,78
297,ASK 16,ASK 16,Alexander Schleicher,Doppelsitzer,76,76,76,76,76
298,Bergfalke 3,Bergfalke 3,Doppelsitzer,76,76,76,76,76
299,Bocian,Bocian,Doppelsitzer,76,76,76,76,76
300,IS 28 M,IS 28 M,Doppelsitzer,76,76,76,76,76
301,Ka2,Ka2,Alexander Schleicher,Doppelsitzer,76,76,76,76,76
302,Kranich 2,Kranich 2,Doppelsitzer,76,76,76,76,76
303,SZD 45 A OGAR,SZD 45 A OGAR,Doppelsitzer,76,76,76,76,76
304,PZL KR-03A Puchatek,PZL KR-03A Puchatek,Doppelsitzer,75,75,75,75,75
