Glider,Models,Manufacturer,Competition Class,2016,2017,2018,2019,2020
LS 3 Std,LS 3 Std,Rolladen-Schneider,Club,103,103,103,103,103
SB 12,SB 12,Akaflieg Braunschweig,Club,103,103,103,103,102
mini LAK-FES,mini LAK-FES,Sportinė Aviacija,Club,-,103,105,105,103
AK 5,AK 5,Akaflieg Karlsruhe,Club,102,102,102,102,102
Cirrus B 18.34m,Cirrus B 18.34m,Schempp-Hirth,Club,102,102,102,102,102
DG 300 FG,DG 300 FG,DG Flugzeugbau,Club,102,102,102,102,102
Pegase,Pegase,Centrair,Club,102,102,102,102,102
ASW 19,ASW 19,Alexander Schleicher,Club,100,100,100,100,100
Cirrus,Cirrus( VTC 17.74m)?,Schempp-Hirth,Club,100,100,100,100,100
D 37,D 37,Akaflieg Darmstadt,Club,100,100,100,100,100
DG 100,DG 100,DG Flugzeugbau,Club,100,100,100,100,100
Elfe 17m,Elfe 17m,Neukom,Club,100,100,100,100,100
Hornet,Hornet,Glasflügel,Club,100,100,100,100,100
LS 1-e/f,LS 1-[ef],Rolladen-Schneider,Club,100,100,100,100,100
Phöbus B3/C,Phöbus( B3| C),Bölkow,Club,100,100,100,100,100
Std. Astir,Std. Astir,Grob Aircraft,Club,100,100,100,100,100
Std. Cirrus 16m,Std. Cirrus 16m,Schempp-Hirth,Club,100,100,100,100,100
Std. Jantar,Std. Jantar,PZW,Club,100,100,100,100,100
SZD 59,SZD 59,Allstar PZL Glider,Club,100,100,100,100,100
Std. Cirrus,Std. Cirrus,Schempp-Hirth,Club,99,99,99,99,99
Apis 2,Apis 2( M| MCs)? 15m,Pipistrel,Club,98,98,98,98,98
ASW 19 Club,ASW 19 Club,Alexander Schleicher,Club,98,98,98,98,98
Bee,Bee,Pipistrel,Club,98,98,98,98,98
Cobra 15m,Cobra 15m,PZL Bielsko,Club,98,98,98,98,98
Delphin 1,Delphin 1,-,Club,98,98,98,98,98
DG 100 Club,DG 100 Club,DG Flugzeugbau,Club,98,98,98,98,98
LS 1,LS 1(-0|-c|-d),Rolladen-Schneider,Club,98,98,98,98,98
Panjo,Panjo V[12],-,Club,98,98,98,98,98
Std. Cirrus Top,Std. Cirrus Top,Schempp-Hirth,Club,98,98,98,98,98
Std. Libelle,Std. Libelle,Glasflügel,Club,98,98,98,98,98
ASW 15,ASW 15,Alexander Schleicher,Club,98,98,98,98,98
D 38,D 38,Akaflieg Darmstadt,Club,98,98,98,98,98
Astir CS,Astir CS( 77)?,Grob Aircraft,Club,96,96,96,96,96
Club Libelle,Club Libelle,Glasflügel,Club,96,96,96,96,96
Elfe,Elfe S[34],Neukom,Club,96,96,96,96,96
IS 29 D,IS 29 D,ICA,Club,96,96,96,96,96
LS 1-0 FG,LS 1-0 FG,Rolladen-Schneider,Club,96,96,96,96,96
Mistral C,Mistral C,Mistral-Flugzeugbau,Club,96,96,96,96,96
Phöbus B,Phöbus B,Bölkow,Club,96,96,96,96,96
H-101 Salto 15.5m,H-101 Salto 15.5m,Glasflügel,Club,96,96,96,96,96
SHK,SHK,Schempp-Hirth,Club,96,96,96,96,96
VSO-10,VSO-10,VSO,Club,96,96,96,96,96
Mü 22b,Mü 22b,Akaflieg München,Club,95,95,95,95,95
Astir CS Top,Astir CS Top,Grob Aircraft,Club,94,94,94,94,94
Elfe FG,Elfe FG,Neukom,Club,94,94,94,94,94
Phöbus A,Phöbus A,Bölkow,Club,94,94,94,94,94
Silent 2,Silent 2,Alisport,Club,94,94,94,94,94
TST-10,TST-10 Atlas( M)?,TeST Gliders,Club,94,94,94,94,94
VSO-10 C,VSO-10 C,VSO,Club,94,94,94,94,94
Apis WR,Apis WR,Pipistrel,Club,93,93,93,93,93
Astir CS Jeans,Astir CS Jeans,Grob Aircraft,Club,93,93,93,93,93
Carat,Carat,AMS-Flight,Club,93,93,93,93,93
ASK 23,ASK 23( B)?,Alexander Schleicher,Club,92,92,92,92,92
fs 25,fs 25,Akaflieg Stuttgart,Club,92,92,92,92,92
Kiwi,Kiwi,Valentin Flugzeugbau,Club,92,92,92,92,92
fs 24 Phönix,fs 24 Phönix,Akaflieg Stuttgart,Club,92,92,92,92,92
G 102 Club Astir,G 102 Club Astir,Grob Aircraft,Club,91,91,91,91,91
Std. Austria SH 1,Std. Austria SH 1,Schempp-Hirt,Club,90,90,90,90,90
SZD 51 Junior,SZD 51 Junior,PZL Bielsko,Club,90,90,90,90,90
Zugvogel IIIb,Zugvogel IIIb,Scheibe-Flugzeugbau,Club,90,90,90,90,90
ASK 18,ASK 18,Alexander Schleicher,Club,88,88,88,88,88
SZD-24 Foka,SZD-24 Foka,SZD,Club,88,88,88,88,88
Geier,Geier,Allgaier,Club,88,88,88,88,88
H-101 Salto,H-101 Salto,Glasflügel,Club,88,88,88,88,88
PIK-16 Vasama,PIK-16 Vasama,Lehtovaara,Club,88,88,88,88,88
SB 5e,SB 5e,Akaflieg Braunschweig,Club,88,88,88,88,88
SF 27 B,SF 27 B,Scheibe-Flugzeugbau,Club,88,88,88,88,88
Std. Austria SH,Std. Austria SH,Schempp-Hirth,Club,88,88,88,88,88
Zugvogel IIIa,Zugvogel IIIa,Scheibe-Flugzeugbau,Club,88,88,88,88,88
Greif 2,Greif 2,Heinkel Flugzeugwerke,Club,86,86,86,86,86
M-25,M-25,-,Club,86,86,86,86,86
Pilatus B4 FG,Pilatus B4 FG,Pilatus,Club,86,86,86,86,86
SB 5,SB 5[abc],Akaflieg Braunschweig,Club,86,86,86,86,86
SF 27,SF 27 (A|MA),Scheibe-Flugzeugbau,Club,86,86,86,86,86
SF 30,SF 30,Scheibe-Flugzeugbau,Club,86,86,86,86,86
Sie-3,Sie-3,Paul Siebert,Club,86,86,86,86,86
Solo L 33,Solo L 33,-,Club,86,86,86,86,86
Std. Austria,Std. Austria,Schempp-Hirth,Club,86,86,86,86,86
SZD 30 Pirat,SZD 30 Pirat,PZL Bielsko,Club,86,86,86,86,86
VT-16 Orlic,VT-16 Orlic( 2)?,-,Club,86,86,86,86,86
Zugvogel,Zugvogel (I|II|IV),Scheibe-Flugzeugbau,Club,86,86,86,86,86
Ka 6 E,Ka 6 E,Alexander Schleicher,Club,85,85,85,85,85
Ka10,Ka10,Alexander Schleicher,Club,85,85,85,85,85
PW 5,PW 5,PZL Świdnik,Club,85,85,85,85,85
Alpin,Alpin( T)?,TeST Gliders,Club,84,84,84,84,84
H 30,H 30,Glasflügel,Club,84,84,84,84,84
Lambada UFM-15,Lambada UFM-15,Urban Air,Club,84,84,84,84,84
Silent AE-1,Silent AE-1( pure)?,Air Energy,Club,84,84,84,84,84
Silent Club,Silent Club( pure)?,Air Energy,Club,84,84,84,84,84
SF 26,SF 26,Scheibe-Flugzeugbau,Club,83,83,83,83,83
ASK 14,ASK 14,Alexander Schleicher,Club,82,82,82,82,82
Ka 6,Ka 6,Alexander Schleicher,Club,82,82,82,82,82
Lambada UFM-13,Lambada UFM-13,Urban Air,Club,82,82,82,82,82
SZD 22 Mucha Std.,SZD 22 Mucha Std.,SZD,Club,82,82,82,82,82
Sagitta,Sagitta,N.V. Vliegtuigbouw,Club,82,82,82,82,82
SFS 31,SFS 31,Scheibe-Flugzeugbau,Club,82,82,82,82,82
LOM 57,LOM 57(/1)?,VEB Lommatzsch,Club,82,82,82,82,82
Duo Banjo,Duo Banjo,ProFe,Club,80,80,80,80,80
Mucha,Mucha,SZD,Club,80,80,80,80,80
LCF 2,LCF 2,LCF,Club,80,80,80,80,80
Weihe 50,Weihe 50,DFS,Club,80,80,80,80,80
L-Spatz,L-Spatz,Scheibe-Flugzeugbau,Club,78,78,78,78,78
Lunak LF 107,Lunak LF 107,Rudý Letov,Club,78,78,78,78,78
Swift S-1,Swift S-1,ZRPSL,Club,77,77,77,77,77
Banjo,Banjo,ProFe,Club,76,76,76,76,76
K 8,K 8,Alexander Schleicher,Club,76,76,76,76,76
Minimoa,Minimoa,Schempp-Hirth,Club,76,76,76,76,76
Ahrens Delphin V1,Ahrens Delphin V1,Arthur Ahrens,Club,-,-,76,76,76
AV.36,AV.36,Fauvel,Club,74,74,74,74,74
